"filename", "language", "Markdown", "XML", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "JavaScript JSX", "PostCSS", "TypeScript JSX", "Dotenv", "HTML", "comment", "blank", "total"
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\utils\progress.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\utils\recommendedLectures.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\dierk\OneDrive\Desktop\Evolvo\README.md", "Markdown", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\AGENTS.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\CLAUDE.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 27
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\app\layout.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\app\messages\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 4, 7, 185
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\app\overview\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 14, 100
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\app\page.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\app\sales\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 6, 64
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\app\users\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 6, 45
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\app\utils\fetchData.js", "JavaScript", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 85
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 3, 44
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\components\SalesoverviewShart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 3, 70
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\components\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 6, 75
